identifiant;horodate;pluie_mm
1;2022-04-23 17:54:00+02:00;1,5
1;2022-04-23 18:00:00+02:00;0,6
1;2022-04-23 18:06:00+02:00;0,5
1;2022-04-23 18:12:00+02:00;0,5
1;2022-04-23 18:18:00+02:00;0,3
1;2022-04-23 18:24:00+02:00;0,5
1;2022-04-23 18:30:00+02:00;0,3
1;2022-04-23 18:36:00+02:00;0,4
1;2022-04-23 18:42:00+02:00;0,2
1;2022-04-23 18:54:00+02:00;0,3
1;2022-04-23 19:00:00+02:00;0,3
1;2022-04-23 19:06:00+02:00;0,3
1;2022-04-23 19:24:00+02:00;0,2
1;2022-04-23 20:24:00+02:00;0,0
1;2022-04-24 19:30:00+02:00;0,1
1;2022-04-24 20:06:00+02:00;0,2
1;2022-04-24 20:12:00+02:00;0,2
1;2022-04-24 20:18:00+02:00;0,1
1;2022-04-24 20:24:00+02:00;0,3
1;2022-04-24 20:54:00+02:00;0,1
1;2022-04-24 21:00:00+02:00;0,1
1;2022-04-24 21:24:00+02:00;0,3
1;2022-04-24 21:30:00+02:00;0,1
1;2022-04-24 21:36:00+02:00;0,4
1;2022-04-24 21:42:00+02:00;0,2
1;2022-04-24 21:48:00+02:00;0,5
1;2022-04-24 21:54:00+02:00;0,3
1;2022-04-24 22:00:00+02:00;0,1
1;2022-04-24 22:06:00+02:00;0,1
1;2022-04-24 22:12:00+02:00;0,3
1;2022-04-24 22:18:00+02:00;0,2
1;2022-04-24 22:24:00+02:00;0,3
1;2022-04-24 22:30:00+02:00;0,1
1;2022-04-24 22:36:00+02:00;0,2
1;2022-04-24 22:48:00+02:00;0,2
1;2022-04-24 22:54:00+02:00;0,1
1;2022-04-24 23:18:00+02:00;0,1
1;2022-04-24 23:36:00+02:00;0,1
1;2022-04-24 23:48:00+02:00;0,1
1;2022-04-24 23:54:00+02:00;0,1
1;2022-04-25 00:00:00+02:00;0,2
1;2022-04-25 00:06:00+02:00;0,2
1;2022-04-25 00:12:00+02:00;0,1
1;2022-04-25 00:18:00+02:00;0,1
1;2022-04-25 00:24:00+02:00;0,1
1;2022-04-25 01:06:00+02:00;0,1
1;2022-04-25 01:30:00+02:00;0,1
1;2022-04-25 02:12:00+02:00;0,1
1;2022-04-25 03:12:00+02:00;0,0
1;2022-04-25 22:54:00+02:00;2,3
1;2022-04-25 23:00:00+02:00;1,0
1;2022-04-25 23:06:00+02:00;0,3
1;2022-04-25 23:12:00+02:00;0,4
1;2022-04-25 23:18:00+02:00;0,1
1;2022-04-25 23:24:00+02:00;0,1
1;2022-04-25 23:30:00+02:00;0,1
1;2022-04-25 23:36:00+02:00;0,1
1;2022-04-25 23:42:00+02:00;0,1
1;2022-04-25 23:48:00+02:00;0,1
1;2022-04-26 00:06:00+02:00;0,1
1;2022-04-26 00:12:00+02:00;0,1
1;2022-04-26 00:24:00+02:00;0,1
1;2022-04-26 01:24:00+02:00;0,0
1;2022-04-29 19:36:00+02:00;0,1
1;2022-04-29 19:42:00+02:00;0,1
2;2022-04-01 04:54:00+02:00;0,3
2;2022-04-01 05:00:00+02:00;0,4
2;2022-04-01 05:06:00+02:00;0,4
