channel_id;channel_provider_id;mobility_type;time_step;last_updated_at;started_at
102032828;102032828;BIKE;900;2023-10-23 21:15:00+00:00;2012-09-30 22:00:00+00:00
101032830;101032830;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102032830;102032830;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
101032832;101032832;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102032832;102032832;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
101032833;101032833;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102032833;102032833;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
101032834;101032834;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102032834;102032834;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
101032835;101032835;BIKE;3600;2023-10-22 22:00:00+00:00;2012-12-31 23:00:00+00:00
102032835;102032835;BIKE;3600;2023-10-22 22:00:00+00:00;2012-12-31 23:00:00+00:00
101032836;101032836;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102032836;102032836;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
101032838;101032838;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102032838;102032838;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102033492;102033492;BIKE;3600;2022-11-16 16:00:00+00:00;2012-12-31 23:00:00+00:00
101034861;101034861;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102034861;102034861;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
103026960;103026960;BIKE;3600;2025-11-29 00:00:00+00:00;2012-12-31 23:00:00+00:00
101043512;101043512;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102043512;102043512;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
353399218;353399218;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
353300368;353300368;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
353399223;353399223;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
104030636;104030636;BIKE;3600;2025-12-17 04:00:00+00:00;2012-12-31 23:00:00+00:00
104030637;104030637;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
103028454;103028454;BIKE;900;2023-02-15 23:00:00+00:00;2010-12-31 23:00:00+00:00
104028454;104028454;BIKE;900;2023-02-15 23:00:00+00:00;2010-12-31 23:00:00+00:00
100029815;100029815;BIKE;3600;2025-12-02 23:00:00+00:00;2012-12-31 23:00:00+00:00
100034428;100034428;BIKE;3600;2023-07-26 22:00:00+00:00;2012-12-31 23:00:00+00:00
100034429;100034429;BIKE;3600;2023-07-26 22:00:00+00:00;2012-12-31 23:00:00+00:00
100034859;100034859;BIKE;3600;2023-07-26 22:00:00+00:00;2012-12-31 23:00:00+00:00
100034860;100034860;BIKE;3600;2023-07-26 22:00:00+00:00;2012-12-31 23:00:00+00:00
101043681;101043681;BIKE;3600;2023-09-25 22:00:00+00:00;2012-12-31 23:00:00+00:00
102043681;102043681;BIKE;3600;2023-09-25 22:00:00+00:00;2012-12-31 23:00:00+00:00
101030143;101030143;BIKE;3600;2025-12-17 12:00:00+00:00;2012-12-31 23:00:00+00:00
102030143;102030143;BIKE;3600;2025-12-17 12:00:00+00:00;2012-12-31 23:00:00+00:00
353243418;353243418;BIKE;3600;2025-01-25 23:00:00+00:00;2012-12-31 23:00:00+00:00
353399217;353399217;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
353399222;353399222;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
103030635;103030635;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
102031122;102031122;BIKE;3600;2022-08-18 22:00:00+00:00;2012-12-31 23:00:00+00:00
101047688;101047688;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102047688;102047688;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
101047690;101047690;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102047690;102047690;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
101047692;101047692;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102047692;102047692;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
101047693;101047693;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102047693;102047693;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
101047694;101047694;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102047694;102047694;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
101048664;101048664;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102048664;102048664;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
104026960;104026960;BIKE;3600;2025-11-29 00:00:00+00:00;2012-12-31 23:00:00+00:00
353479510;353479510;BIKE;3600;2025-12-17 23:00:00+00:00;2016-07-18 14:15:00+00:00
101049670;101049670;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102049670;102049670;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
353479511;353479511;BIKE;3600;2025-12-17 23:00:00+00:00;2016-07-18 14:15:00+00:00
102031124;102031124;BIKE;900;2024-09-22 22:00:00+00:00;2012-12-31 23:00:00+00:00
101031127;101031127;BIKE;3600;2023-09-25 22:00:00+00:00;2012-12-31 23:00:00+00:00
353244001;353244001;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
353244005;353244005;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
101026725;101026725;BIKE;3600;2025-07-05 00:00:00+00:00;2012-12-31 23:00:00+00:00
102026725;102026725;BIKE;3600;2025-07-05 00:00:00+00:00;2012-12-31 23:00:00+00:00
102031125;102031125;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
353479386;353479386;BIKE;3600;2025-12-17 23:00:00+00:00;2016-07-05 22:00:00+00:00
353479387;353479387;BIKE;3600;2025-12-17 23:00:00+00:00;2016-07-05 22:00:00+00:00
353399188;353399188;BIKE;900;2025-12-17 22:15:00+00:00;2012-12-31 23:00:00+00:00
103031124;103031124;BIKE;900;2024-09-22 22:00:00+00:00;2012-12-31 23:00:00+00:00
101041017;101041017;BIKE;3600;2025-12-17 23:00:00+00:00;2012-12-31 23:00:00+00:00
101052943;101052943;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102052943;102052943;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
353399185;353399185;BIKE;900;2025-02-07 00:00:00+00:00;2011-04-14 22:00:00+00:00
353261920;353261920;BIKE;3600;2022-08-12 15:00:00+00:00;2011-04-13 22:00:00+00:00
353261924;353261924;BIKE;3600;2022-08-12 15:00:00+00:00;2011-04-13 22:00:00+00:00
101054728;101054728;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102054728;102054728;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
101054729;101054729;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102054729;102054729;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
101054730;101054730;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102054730;102054730;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
101056211;101056211;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
102056211;102056211;BIKE;3600;2023-10-23 22:00:00+00:00;2012-12-31 23:00:00+00:00
101057984;101057984;BIKE;3600;2023-10-23 22:00:00+00:00;2008-11-30 23:00:00+00:00
102057984;102057984;BIKE;3600;2023-10-23 22:00:00+00:00;2008-11-30 23:00:00+00:00
