deveui;horodate;degre_celsius
70b3d580a0100549;29/04/2022 20:31;15,5625
70b3d580a010054c;29/04/2022 20:30;16
70b3d580a0100605;29/04/2022 20:29;15,5
70b3d580a0100647;29/04/2022 20:28;15,1875
70b3d580a0100648;29/04/2022 20:26;14,8125
70b3d580a0100623;29/04/2022 20:22;15,125
70b3d580a0100654;29/04/2022 20:21;16,25
70b3d580a0100657;29/04/2022 20:17;17,5625
70b3d580a0100652;29/04/2022 20:15;14,5
70b3d580a01007a5;29/04/2022 20:14;14,625
70b3d580a0100543;29/04/2022 20:12;15,375
70b3d580a01006cf;29/04/2022 20:11;14,8125
70b3d580a0100656;29/04/2022 20:08;15,25
70b3d580a0100550;29/04/2022 20:05;16,125
70b3d580a0100742;29/04/2022 20:04;14,4375
70b3d580a01005fa;29/04/2022 20:03;16
70b3d580a0100600;29/04/2022 20:01;16,375
70b3d580a0100549;29/04/2022 20:01;15,8125
70b3d580a010054c;29/04/2022 20:00;16,8125
70b3d580a0100605;29/04/2022 19:59;15,9375
70b3d580a0100647;29/04/2022 19:58;16,25
70b3d580a0100648;29/04/2022 19:56;16,875
70b3d580a0100623;29/04/2022 19:52;16,0625
70b3d580a0100654;29/04/2022 19:51;17
70b3d580a0100657;29/04/2022 19:47;19,1875
70b3d580a0100652;29/04/2022 19:45;15
70b3d580a01007a5;29/04/2022 19:44;15,0625
70b3d580a0100543;29/04/2022 19:42;16,3125
70b3d580a01006cf;29/04/2022 19:41;15,5
70b3d580a0100656;29/04/2022 19:38;17,625
70b3d580a0100550;29/04/2022 19:35;17,8125
70b3d580a0100742;29/04/2022 19:34;15,0625
70b3d580a01005fa;29/04/2022 19:33;17,8125
70b3d580a0100600;29/04/2022 19:31;18,4375
70b3d580a0100549;29/04/2022 19:31;17,625
70b3d580a010054c;29/04/2022 19:30;18,75
70b3d580a0100605;29/04/2022 19:29;17,8125
70b3d580a0100647;29/04/2022 19:28;19,375
70b3d580a0100648;29/04/2022 19:26;18,9375
70b3d580a0100623;29/04/2022 19:22;19,125
70b3d580a0100654;29/04/2022 19:21;19,625
70b3d580a0100657;29/04/2022 19:17;20
70b3d580a0100652;29/04/2022 19:15;16,0625
70b3d580a01007a5;29/04/2022 19:14;17,4375
70b3d580a0100543;29/04/2022 19:12;19,25
70b3d580a0100543;29/04/2022 19:12;19,25
70b3d580a01006cf;29/04/2022 19:11;18,1875
70b3d580a0100656;29/04/2022 19:08;19
70b3d580a0100550;29/04/2022 19:05;20,25
70b3d580a0100742;29/04/2022 19:04;17,0625
70b3d580a01005fa;29/04/2022 19:03;20
70b3d580a0100600;29/04/2022 19:01;20,3125
70b3d580a0100549;29/04/2022 19:01;19,9375
70b3d580a010054c;29/04/2022 19:00;20,25
70b3d580a0100605;29/04/2022 18:59;20,0625
