date_heure;pluie_moyenne
2022-04-25T14:00:00.000+02:00;0.1
2022-04-25T15:00:00.000+02:00;0.1
2022-04-25T19:00:00.000+02:00;0.769230769230769
2022-04-25T20:00:00.000+02:00;0.3333333333333333
2022-04-25T21:00:00.000+02:00;0.19375
2022-04-25T22:00:00.000+02:00;0.3844444444444445
2022-04-25T23:00:00.000+02:00;0.21351351351351341
2022-04-26T00:00:00.000+02:00;0.1744186046511628
2022-04-26T01:00:00.000+02:00;0.11666666666666671
2022-04-29T19:00:00.000+02:00;0.1636363636363636
2022-04-29T20:00:00.000+02:00;0.1
