channel_id;channel_provider_id;mobility_type;started_at;last_updated_at;time_step
353244355;353244355;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
69383.01350.04.00;69383.01350.04.00;PEDESTRIAN;2024-04-04 09:00:00+02:00;2025-12-18 11:00:00+01:00;3600
69383.01350.04.01;69383.01350.04.01;PEDESTRIAN;2024-04-04 09:00:00+02:00;2025-12-18 11:00:00+01:00;3600
69386.00131.02.00;69386.00131.02.00;PEDESTRIAN;2023-02-22 12:00:00+01:00;2025-12-18 10:00:00+01:00;3600
102030584;102030584;PEDESTRIAN;2016-04-08 00:00:00+02:00;;900
353299932;353299932;BIKE;2013-01-01 00:00:00+01:00;;3600
353299938;353299938;BIKE;2013-01-01 00:00:00+01:00;2022-06-16 15:00:00+02:00;3600
353299942;353299942;BIKE;2013-01-01 00:00:00+01:00;2022-06-16 15:00:00+02:00;3600
101030585;101030585;PEDESTRIAN;2016-04-08 00:00:00+02:00;;900
353299952;353299952;E-SCOOTER;2022-02-09 11:00:00+01:00;;3600
102030585;102030585;PEDESTRIAN;2016-04-08 00:00:00+02:00;;900
353299962;353299962;E-SCOOTER;2022-02-09 11:00:00+01:00;;3600
101024515;101024515;BIKE;2013-01-01 00:00:00+01:00;2024-09-18 15:15:00+02:00;900
353302066;353302066;TRUCK;2021-08-31 00:00:00+02:00;2023-04-07 19:13:00+02:00;780
69383.01432.04.00;69383.01432.04.00;PEDESTRIAN;2023-02-22 12:00:00+01:00;2024-09-01 07:00:00+02:00;3600
353244359;353244359;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
101017788;101017788;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
101017793;101017793;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
101030586;101030586;PEDESTRIAN;2016-04-08 00:00:00+02:00;;900
102030586;102030586;PEDESTRIAN;2016-04-08 00:00:00+02:00;;900
101030630;101030630;PEDESTRIAN;2016-04-18 00:00:00+02:00;;900
102030630;102030630;PEDESTRIAN;2016-04-18 00:00:00+02:00;;900
102017793;102017793;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
69266.00611.02.01;69266.00611.02.01;PEDESTRIAN;2024-04-03 22:00:00+02:00;2025-12-18 10:00:00+01:00;3600
353243839;353243839;BIKE;2013-01-01 00:00:00+01:00;2024-09-23 00:00:00+02:00;3600
69382.00647.02.01;69382.00647.02.01;PEDESTRIAN;2023-02-22 12:00:00+01:00;2025-12-18 11:00:00+01:00;3600
69383.01336.03.01;69383.01336.03.01;PEDESTRIAN;2024-06-11 08:00:00+02:00;2025-12-18 11:00:00+01:00;3600
353243804;353243804;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
353243826;353243826;BIKE;2013-01-01 00:00:00+01:00;2025-12-18 00:00:00+01:00;3600
